    1. _number_            <number>                regullar expression for decimal numbers
    2. +                   <Operator>              addition
    3. -                   <Operator>              subtraction
    4. *                   <Operator>              multiplication
    5. /                   <Operator>              division
    6. ^                   <Operator>              exponentiation
    7. !                   <Operator>              factorial
    8. #                   <Operator>              modulo function
    9. &                   <Boolean Operator>      logical conjunction (AND)
   10. &&                  <Boolean Operator>      logical conjunction (AND)
   11. /\                  <Boolean Operator>      logical conjunction (AND)
   12. ~&                  <Boolean Operator>      NAND - Sheffer stroke
   13. ~&&                 <Boolean Operator>      NAND - Sheffer stroke
   14. ~/\                 <Boolean Operator>      NAND - Sheffer stroke
   15. |                   <Boolean Operator>      logical disjunction (OR)
   16. ||                  <Boolean Operator>      logical disjunction (OR)
   17. \/                  <Boolean Operator>      logical disjunction (OR)
   18. ~|                  <Boolean Operator>      logical NOR
   19. ~||                 <Boolean Operator>      logical NOR
   20. ~\/                 <Boolean Operator>      logical NOR
   21. (+)                 <Boolean Operator>      exclusive or (XOR)
   22. -->                 <Boolean Operator>      implication (IMP)
   23. <--                 <Boolean Operator>      converse implication (CIMP)
   24. -/>                 <Boolean Operator>      material nonimplication (NIMP)
   25. </-                 <Boolean Operator>      converse nonimplication (CNIMP)
   26. <->                 <Boolean Operator>      logical biconditional (EQV)
   27. ~                   <Boolean Operator>      negation
   28. ¬                   <Boolean Operator>      negation
   29. =                   <Binary Relation>       equality
   30. ==                  <Binary Relation>       equality
   31. <>                  <Binary Relation>       inequation
   32. ~=                  <Binary Relation>       inequation
   33. !=                  <Binary Relation>       inequation
   34. <                   <Binary Relation>       lower than
   35. >                   <Binary Relation>       greater than
   36. <=                  <Binary Relation>       lower or equal
   37. >=                  <Binary Relation>       greater or equal
   38. sin                 <Unary Function>        trigonometric sine function
   39. cos                 <Unary Function>        trigonometric cosine function
   40. tan                 <Unary Function>        trigonometric tangent function
   41. tg                  <Unary Function>        trigonometric tangent function
   42. ctan                <Unary Function>        trigonometric cotangent function
   43. ctg                 <Unary Function>        trigonometric cotangent function
   44. cot                 <Unary Function>        trigonometric cotangent function
   45. sec                 <Unary Function>        trigonometric secant function
   46. cosec               <Unary Function>        trigonometric cosecant function
   47. csc                 <Unary Function>        trigonometric cosecant function
   48. asin                <Unary Function>        inverse trigonometric sine function
   49. arsin               <Unary Function>        inverse trigonometric sine function
   50. arcsin              <Unary Function>        inverse trigonometric sine function
   51. acos                <Unary Function>        inverse trigonometric cosine function
   52. arcos               <Unary Function>        inverse trigonometric cosine function
   53. arccos              <Unary Function>        inverse trigonometric cosine function
   54. atan                <Unary Function>        inverse trigonometric tangent function
   55. arctan              <Unary Function>        inverse trigonometric tangent function
   56. atg                 <Unary Function>        inverse trigonometric tangent function
   57. arctg               <Unary Function>        inverse trigonometric tangent function
   58. actan               <Unary Function>        inverse trigonometric cotangent function
   59. arcctan             <Unary Function>        inverse trigonometric cotangent function
   60. actg                <Unary Function>        inverse trigonometric cotangent function
   61. arcctg              <Unary Function>        inverse trigonometric cotangent function
   62. acot                <Unary Function>        inverse trigonometric cotangent function
   63. arccot              <Unary Function>        inverse trigonometric cotangent function
   64. ln                  <Unary Function>        natural logarithm function (base e)
   65. log2                <Unary Function>        binary logarithm function (base 2)
   66. log10               <Unary Function>        common logarithm function (base 10)
   67. rad                 <Unary Function>        degrees to radians function
   68. exp                 <Unary Function>        exponential function
   69. sqrt                <Unary Function>        squre root function
   70. sinh                <Unary Function>        hyperbolic sine function
   71. cosh                <Unary Function>        hyperbolic cosine function
   72. tanh                <Unary Function>        hyperbolic tangent function
   73. tgh                 <Unary Function>        hyperbolic tangent function
   74. ctanh               <Unary Function>        hyperbolic cotangent function
